abermals	again	adv
abrupt	suddenly	adv
abschließend	finally	adv
absichtlich	deliberately	adv
absichtsvoll	deliberately	adv
absolut	definitely	adv
absolut	perfectly	adv
ab und zu	occasionally	adv
aktuell	currently	adv
allemal	always	adv
allerdings	certainly	adv
allerdings	however	adv
allermeist	mostly	adv
alles in allem	altogether	adv
alle Tage	daily	adv
allgemein	generally	adv
allmählich	carefully	adv
allseits	everywhere	adv
am Anfang	early	adv
am Anfang	initially	adv
am Ende	eventually	adv
am Ende	finally	adv
am Ende	ultimately	adv
am meisten	mostly	adv
an anderen Orten	elsewhere	adv
an anderer Stelle	elsewhere	adv
andauernd	constantly	adv
anderenfalls	else	adv
anderenorts	elsewhere	adv
andernfalls	else	adv
andernorts	elsewhere	adv
anderorts	elsewhere	adv
anders	else	adv
an der Spitze	ahead	adv
anderswo	elsewhere	adv
anderswohin	elsewhere	adv
anderweitig	elsewhere	adv
anderwärts	elsewhere	adv
aneinander	together	adv
anfangs	initially	adv
anfänglich	initially	adv
anfänglich	primarily	adv
an jedem Ort	everywhere	adv
annähernd	roughly	adv
an Sankt Nimmerlein	never	adv
anstatt dessen	instead	adv
an und für sich	actually	adv
auch	also	adv
auf die gleiche Weise	similarly	adv
auf direkte Weise	directly	adv
auf ehrliche Weise	honestly	adv
auf jeden Fall	definitely	adv
auf leichte Weise	easily	adv
auf natürliche Weise	naturally	adv
aufrichtig	truly	adv
auf schnelle Weise	quickly	adv
auf schreckliche Art und Weise	terribly	adv
aufs Höchste	highly	adv
aufs höchste	highly	adv
aufs Äußerste	extremely	adv
aus diesem Grund	therefore	adv
ausdrücklich	specifically	adv
automatisch	automatically	adv
außerdem	moreover	adv
außerordentlich	greatly	adv
bald	soon	adv
bedauerlicherweise	unfortunately	adv
bedauerlich	unfortunately	adv
bedeutend	significantly	adv
bedeutsam	significantly	adv
bedächtig	carefully	adv
bedächtig	deliberately	adv
bedächtig	slowly	adv
behutsam	carefully	adv
behutsam	gently	adv
beieinander	together	adv
beinahe	almost	adv
beinahe	nearly	adv
beisammen	together	adv
bei weitem	easily	adv
bequem	easily	adv
bequem	readily	adv
bereit	readily	adv
bereits	already	adv
bereitwillig	readily	adv
besonders	extremely	adv
bestimmt	certainly	adv
bestimmt	definitely	adv
beständig	constantly	adv
beträchtlich	significantly	adv
bewusst	deliberately	adv
bezeichnenderweise	significantly	adv
binnen kurzem	soon	adv
binnen Kurzem	soon	adv
